station_id,area_code,assignment_basis
s47401,hokkaido,prefecture in the TSO supply area
s47402,hokkaido,prefecture in the TSO supply area
s47407,hokkaido,prefecture in the TSO supply area
s47404,hokkaido,prefecture in the TSO supply area
s47406,hokkaido,prefecture in the TSO supply area
s47412,hokkaido,prefecture in the TSO supply area
s47413,hokkaido,prefecture in the TSO supply area
s47411,hokkaido,prefecture in the TSO supply area
s47421,hokkaido,prefecture in the TSO supply area
s47433,hokkaido,prefecture in the TSO supply area
s47405,hokkaido,prefecture in the TSO supply area
s47409,hokkaido,prefecture in the TSO supply area
s47435,hokkaido,prefecture in the TSO supply area
s47420,hokkaido,prefecture in the TSO supply area
s47418,hokkaido,prefecture in the TSO supply area
s47417,hokkaido,prefecture in the TSO supply area
s47440,hokkaido,prefecture in the TSO supply area
s47423,hokkaido,prefecture in the TSO supply area
s47424,hokkaido,prefecture in the TSO supply area
s47426,hokkaido,prefecture in the TSO supply area
s47430,hokkaido,prefecture in the TSO supply area
s47428,hokkaido,prefecture in the TSO supply area
s47574,tohoku,prefecture in the TSO supply area
s47575,tohoku,prefecture in the TSO supply area
s47576,tohoku,prefecture in the TSO supply area
s47581,tohoku,prefecture in the TSO supply area
s47582,tohoku,prefecture in the TSO supply area
s47512,tohoku,prefecture in the TSO supply area
s47584,tohoku,prefecture in the TSO supply area
s47585,tohoku,prefecture in the TSO supply area
s47590,tohoku,prefecture in the TSO supply area
s47592,tohoku,prefecture in the TSO supply area
s47520,tohoku,prefecture in the TSO supply area
s47587,tohoku,prefecture in the TSO supply area
s47588,tohoku,prefecture in the TSO supply area
s47570,tohoku,prefecture in the TSO supply area
s47595,tohoku,prefecture in the TSO supply area
s47597,tohoku,prefecture in the TSO supply area
s47598,tohoku,prefecture in the TSO supply area
s47629,tokyo,prefecture in the TSO supply area
s47646,tokyo,prefecture in the TSO supply area
s47615,tokyo,prefecture in the TSO supply area
s47690,tokyo,prefecture in the TSO supply area
s47624,tokyo,prefecture in the TSO supply area
s47626,tokyo,prefecture in the TSO supply area
s47641,tokyo,prefecture in the TSO supply area
s47662,tokyo,prefecture in the TSO supply area
s47675,tokyo,prefecture in the TSO supply area
s47677,tokyo,prefecture in the TSO supply area
s47678,tokyo,prefecture in the TSO supply area
s47971,tokyo,prefecture in the TSO supply area
s47648,tokyo,prefecture in the TSO supply area
s47672,tokyo,prefecture in the TSO supply area
s47674,tokyo,prefecture in the TSO supply area
s47682,tokyo,prefecture in the TSO supply area
s47670,tokyo,prefecture in the TSO supply area
s47610,chubu,prefecture in the TSO supply area
s47618,chubu,prefecture in the TSO supply area
s47620,chubu,prefecture in the TSO supply area
s47622,chubu,prefecture in the TSO supply area
s47637,chubu,prefecture in the TSO supply area
s47638,tokyo,prefecture in the TSO supply area
s47639,tokyo,prefecture in the TSO supply area
s47640,tokyo,prefecture in the TSO supply area
s47654,chubu,静岡県富士川以西 (浜松市) → Chubu PG
s47655,chubu,静岡県富士川以西 (御前崎市) → Chubu PG
s47656,chubu,静岡県富士川以西 (静岡市) → Chubu PG
s47657,tokyo,静岡県富士川以東 (三島市) → TEPCO PG
s47666,tokyo,静岡県富士川以東 (南伊豆町) → TEPCO PG
s47668,tokyo,静岡県富士川以東 (熱海市) → TEPCO PG
s47636,chubu,prefecture in the TSO supply area
s47653,chubu,prefecture in the TSO supply area
s47617,chubu,prefecture in the TSO supply area
s47632,chubu,prefecture in the TSO supply area
s47649,chubu,prefecture in the TSO supply area
s47651,chubu,prefecture in the TSO supply area
s47663,chubu,prefecture in the TSO supply area
s47684,chubu,prefecture in the TSO supply area
s47602,tohoku,prefecture in the TSO supply area
s47604,tohoku,prefecture in the TSO supply area
s47612,tohoku,prefecture in the TSO supply area
s47606,hokuriku,prefecture in the TSO supply area
s47607,hokuriku,prefecture in the TSO supply area
s47600,hokuriku,prefecture in the TSO supply area
s47605,hokuriku,prefecture in the TSO supply area
s47616,hokuriku,prefecture in the TSO supply area
s47631,hokuriku,prefecture in the TSO supply area
s47751,kansai,prefecture in the TSO supply area
s47761,kansai,prefecture in the TSO supply area
s47750,kansai,prefecture in the TSO supply area
s47759,kansai,prefecture in the TSO supply area
s47772,kansai,prefecture in the TSO supply area
s47747,kansai,prefecture in the TSO supply area
s47769,kansai,prefecture in the TSO supply area
s47770,kansai,prefecture in the TSO supply area
s47776,kansai,prefecture in the TSO supply area
s47780,kansai,prefecture in the TSO supply area
s47777,kansai,prefecture in the TSO supply area
s47778,kansai,prefecture in the TSO supply area
s47756,chugoku,prefecture in the TSO supply area
s47768,chugoku,prefecture in the TSO supply area
s47765,chugoku,prefecture in the TSO supply area
s47766,chugoku,prefecture in the TSO supply area
s47767,chugoku,prefecture in the TSO supply area
s47740,chugoku,prefecture in the TSO supply area
s47741,chugoku,prefecture in the TSO supply area
s47755,chugoku,prefecture in the TSO supply area
s47742,chugoku,prefecture in the TSO supply area
s47744,chugoku,prefecture in the TSO supply area
s47746,chugoku,prefecture in the TSO supply area
s47894,shikoku,prefecture in the TSO supply area
s47895,shikoku,prefecture in the TSO supply area
s47890,shikoku,prefecture in the TSO supply area
s47891,shikoku,prefecture in the TSO supply area
s47887,shikoku,prefecture in the TSO supply area
s47892,shikoku,prefecture in the TSO supply area
s47893,shikoku,prefecture in the TSO supply area
s47897,shikoku,prefecture in the TSO supply area
s47898,shikoku,prefecture in the TSO supply area
s47899,shikoku,prefecture in the TSO supply area
s47754,chugoku,prefecture in the TSO supply area
s47762,chugoku,prefecture in the TSO supply area
s47784,chugoku,prefecture in the TSO supply area
s47807,kyushu,prefecture in the TSO supply area
s47809,kyushu,prefecture in the TSO supply area
s47814,kyushu,prefecture in the TSO supply area
s47815,kyushu,prefecture in the TSO supply area
s47800,kyushu,prefecture in the TSO supply area
s47805,kyushu,prefecture in the TSO supply area
s47812,kyushu,prefecture in the TSO supply area
s47817,kyushu,prefecture in the TSO supply area
s47818,kyushu,prefecture in the TSO supply area
s47843,kyushu,prefecture in the TSO supply area
s47813,kyushu,prefecture in the TSO supply area
s47819,kyushu,prefecture in the TSO supply area
s47821,kyushu,prefecture in the TSO supply area
s47824,kyushu,prefecture in the TSO supply area
s47838,kyushu,prefecture in the TSO supply area
s47822,kyushu,prefecture in the TSO supply area
s47829,kyushu,prefecture in the TSO supply area
s47830,kyushu,prefecture in the TSO supply area
s47835,kyushu,prefecture in the TSO supply area
s47823,kyushu,prefecture in the TSO supply area
s47827,kyushu,prefecture in the TSO supply area
s47831,kyushu,prefecture in the TSO supply area
s47836,kyushu,prefecture in the TSO supply area
s47837,kyushu,prefecture in the TSO supply area
s47909,kyushu,prefecture in the TSO supply area
s47942,kyushu,prefecture in the TSO supply area
